Rk,Player,Class,Season,Pos,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
94,N'Faly Dante,FR,2019-20,C,Oregon,Pac-12,12,163,23.2,0.602,0.627,9.1,14.9,12.1,9,4.1,5.2,15.9,22.1,64,110.8,93.4,0.4,0.3,0.7,2.9,5.2,8.1
95,Sean Miller-Moore,JR,2019-20,G,Oregon State,Pac-12,29,257,16.3,0.652,0.679,15.5,10.6,13,7.3,1.2,0.4,24.8,16.7,83,110.4,107.4,0.5,0.2,0.7,2,-0.9,1.1
96,Eli Parquet,SO,2019-20,G,Colorado,Pac-12,30,368,7.4,0.517,0.485,2,7.8,5,10.2,1,2.5,21.2,13.2,77,96,98.5,0.2,0.6,0.7,-0.5,2.8,2.4
97,Sam Timmins,SR,2019-20,F,Washington,Pac-12,31,245,13.8,0.655,0.663,5.6,13.6,10,4.1,1.6,4.9,23.8,13,58,106,96.2,0.3,0.4,0.7,-0.2,3.9,3.8
98,Raequan Battle,FR,2019-20,F,Washington,Pac-12,20,226,14.4,0.468,0.443,5.5,8.3,7,5.8,3,0.5,7.2,24.9,88,99.3,97.8,0.3,0.4,0.6,3.5,-1.1,2.4
99,Kuany Kuany,FR,2019-20,F,University of California,Pac-12,28,186,15.5,0.545,0.458,6.7,14.4,10.6,8,0.7,2.6,9.7,18.1,63,116.7,106.2,0.4,0.1,0.6,2.2,0.5,2.7
100,Mickey Mitchell,SR,2019-20,F,Arizona State,Pac-12,23,358,6.7,0.419,0.393,6.5,12.4,9.3,8.2,2.4,1.6,26.4,9.1,58,87.9,96.9,0,0.6,0.6,-1.8,5.1,3.3
101,Lahat Thioune,FR,2019-20,C,Utah,Pac-12,25,223,13.1,0.672,0.667,10.5,19.9,15.4,0.8,1.1,3.8,24.7,10.4,47,114.9,101.1,0.3,0.3,0.6,-1.3,1.6,0.3
102,Volodymyr Markovetskyy,FR,2019-20,C,Washington State,Pac-12,22,182,13.1,0.588,0.656,11.4,20.5,15.7,2.3,0,4,18.7,13,47,107.7,98.7,0.2,0.3,0.5,-2.4,1.4,-1
103,Alex Olesinski,SR,2019-20,F,UCLA,Pac-12,26,226,10.3,0.431,0.414,6.2,16.7,11.3,5.7,2.1,4.3,9.5,9.6,37,104.5,99.3,0.2,0.3,0.5,0.2,3.9,4.1
104,Roman Silva,JR,2019-20,C,Oregon State,Pac-12,29,211,12.7,0.579,0.578,8.9,11.8,10.4,4.8,0.9,5.3,17.1,14.7,55,106.9,104.7,0.3,0.2,0.5,-0.7,1.5,0.8
105,C.J. Walker,FR,2019-20,F,Oregon,Pac-12,28,417,8.7,0.432,0.42,6.6,13.6,10.2,3.4,1.6,4.3,15.1,19.1,110,88.4,100.3,0,0.6,0.5,-2.4,2,-0.5
106,Dallas Walton,JR,2019-20,F,Colorado,Pac-12,28,173,12.2,0.487,0.439,9.8,12,10.9,11.5,1.4,3,17.8,16.7,51,101.6,95.7,0.2,0.3,0.5,-0.4,3.8,3.4
107,Quinton Adlesh,SR,2019-20,G,Southern California,Pac-12,29,344,5,0.438,0.417,1.3,7.3,4.5,9.1,2.2,0.6,21.3,11.5,57,84.6,98.7,-0.1,0.5,0.4,-1.2,2.5,1.2
108,Max Agbonkpolo,FR,2019-20,F,Southern California,Pac-12,24,176,10.8,0.441,0.405,5.2,11.3,8.4,7.8,1.3,1.9,10.4,21.8,58,94.8,98.2,0.1,0.3,0.4,-0.7,0.4,-0.3
109,DJ Rodman,FR,2019-20,F,Washington State,Pac-12,26,309,5.5,0.395,0.373,6,12.1,8.9,4.1,0.9,0,12.5,10.1,50,90.9,102.3,0,0.4,0.4,-2.1,0.8,-1.4
110,Lars Thiemann,FR,2019-20,F,University of California,Pac-12,32,460,7.2,0.549,0.559,6.5,12.4,9.5,1.9,0.8,3.6,27,14,95,88.7,105.9,0,0.4,0.4,-3,2.3,-0.7
111,Elias Valtonen,SO,2019-20,G,Arizona State,Pac-12,19,271,5.2,0.486,0.484,1.6,12.7,7,4.2,1.8,0.8,20.4,8.6,38,89.2,98.7,0,0.4,0.4,-1.9,3.4,1.4
112,Nate Roberts,FR,2019-20,F,Washington,Pac-12,19,150,8.7,0.489,0.526,9.2,16,12.9,1.2,1.9,2.2,23.1,11.6,28,89.7,95.4,0,0.3,0.3,-2.7,2.2,-0.5
113,Daylen Kountz,SO,2019-20,G,Colorado,Pac-12,32,398,4.7,0.405,0.353,0.9,6.9,4,9.7,2.5,0.8,21.4,19.3,94,75.7,96.6,-0.5,0.7,0.2,-4.8,2.5,-2.3
114,Shareef O'Neal,FR,2019-20,F,UCLA,Pac-12,13,132,9.7,0.392,0.357,15,19.4,17.2,4.3,1.8,2.8,19.6,17.8,35,86.7,99.8,0,0.2,0.2,-2.3,1.3,-0.9
115,Ryan Rapp,FR,2019-20,G,Washington State,Pac-12,19,136,8.2,0.538,0.5,2.3,7.7,4.8,12.7,1.2,0,22.3,12.9,31,97.6,103,0.1,0.2,0.2,-1.7,0,-1.6
116,D.J. Thorpe,FR,2019-20,F,University of California,Pac-12,29,226,8.7,0.461,0.486,9.4,16.7,13.1,1.9,1.3,6.4,23.5,15.4,49,84,101.5,-0.1,0.3,0.2,-4.3,3.6,-0.6
117,Antoine Vernon,SO,2019-20,G,Oregon State,Pac-12,25,199,5.4,0.487,0.5,0,11.3,5.8,18,1.5,0,32.8,6.5,24,95.4,106.6,0,0.1,0.2,-1.6,-0.2,-1.8
118,Joel Brown,FR,2019-20,G,University of California,Pac-12,32,609,4.8,0.393,0.388,1,11.6,6.4,18.4,1.4,0.8,25.5,11.9,99,78.6,106.7,-0.4,0.5,0.1,-2.6,2,-0.6
119,Jacobi Gordon,SO,2019-20,F,University of California,Pac-12,12,107,7.2,0.546,0.45,8.1,8,8,1.9,1.1,1.1,29.6,17.2,27,88.5,108.5,0,0.1,0.1,-1.5,-0.4,-1.9
120,Juhwan Harris-Dyson,JR,2019-20,G,University of California,Pac-12,13,189,10.2,0.464,0.435,5.9,9.7,7.8,10.8,2.9,1.9,21.1,20.5,54,86.1,103.2,-0.1,0.2,0.1,-2.2,2.7,0.5
121,Gianni Hunt,FR,2019-20,G,Oregon State,Pac-12,31,426,5.1,0.423,0.391,1.2,11.4,6.4,12,2.7,0,22,16.5,90,79,103.8,-0.3,0.4,0.1,-3,0.3,-2.7
122,Jaylen Shead,SR,2019-20,G,Washington State,Pac-12,12,274,5.2,0.379,0.329,3.4,12.3,7.6,20.3,3.1,0,38.6,13.5,51,69.7,97.5,-0.4,0.5,0.1,-4.8,3.5,-1.3
123,Kyle Sturdivant,FR,2019-20,G,Southern California,Pac-12,21,175,7.1,0.428,0.38,2.6,12,7.5,26.9,1.6,0.6,30.4,20.5,52,79.2,97.8,-0.2,0.3,0.1,-4.1,1.3,-2.8
124,Elijah Hardy,SO,2019-20,G,Washington,Pac-12,29,319,4.4,0.374,0.331,0.8,10.1,5.9,19,3.6,0,32,16.8,66,68.5,95.9,-0.6,0.6,0,-4.2,2.6,-1.6
1,Vernon Carey Jr.,FR,2019-20,C,Duke,ACC,31,772,34.1,0.615,0.588,12,26.1,19.2,8.2,1.6,5.8,12.3,31,499,121.2,88,3.6,2,5.6,5.6,4.1,9.8
2,Jordan Nwora,JR,2019-20,F,Louisville,ACC,31,1026,22.5,0.568,0.528,6,19.8,13.3,8.4,1.3,0.9,11.7,27.8,500,113.5,94.2,3.2,2,5.2,5.6,2,7.6
3,John Mooney,SR,2019-20,F,Notre Dame,ACC,31,1013,26,0.515,0.495,12,28.9,20.6,11.3,2.2,2.1,7.8,26.5,495,111.2,92.2,2.8,2.2,5,3.2,3.2,6.5
4,Tre Jones,SO,2019-20,G,Duke,ACC,29,1028,21.2,0.524,0.474,2.1,10.8,6.5,31.4,2.8,0.9,14.8,24,513,113.2,94.6,3,2,4.9,5.3,3.3,8.6
5,Elijah Hughes,JR,2019-20,F,Syracuse,ACC,32,1175,22.1,0.561,0.511,1.4,13.2,7.4,20.1,1.8,2.9,11.9,26.6,570,113.1,103,3.5,1.3,4.8,5.8,1.3,7.1
6,Dwayne Sutton,SR,2019-20,F,Louisville,ACC,31,976,19.5,0.608,0.582,9.3,19.8,14.8,10.1,1.5,2.6,11.8,13.8,301,129.6,92.9,2.8,2,4.8,6.5,5.9,12.4
7,Devin Vassell,SO,2019-20,G,Florida State,ACC,30,863,23.8,0.585,0.565,5.3,15.4,10.4,11.2,2.8,4.1,6.6,20,352,126.9,93.6,3,1.7,4.7,6.1,4.6,10.8
8,Mamadi Diakite,SR,2019-20,F,Virginia,ACC,30,985,20.4,0.554,0.51,6.4,18.8,12.9,5,1.6,5.3,14.7,25.9,369,102.6,85.1,1.6,2.8,4.4,0.4,5,5.4
9,Tyrece Radford,FR,2019-20,G,Virginia Tech,ACC,32,842,24.8,0.624,0.606,9.5,17.7,13.6,14.8,2.2,1.5,8.8,18.5,332,129.2,97.8,3.1,1.4,4.4,5,3.6,8.7
10,Garrison Brooks,JR,2019-20,F,North Carolina,ACC,32,1116,22.2,0.564,0.537,9.5,16.7,13,12.3,0.9,1.7,12.1,23.2,511,115,104.8,3.2,1,4.3,4.3,1.7,6.1
11,Jay Huff,JR,2019-20,F,Virginia,ACC,30,749,23.7,0.616,0.622,10,20.5,15.5,8.5,1,11.1,13.3,18.7,238,116.2,82.2,1.8,2.3,4.2,3.1,9.3,12.4
12,Aamir Simms,JR,2019-20,F,Clemson,ACC,30,947,21.6,0.565,0.532,8.5,18.7,13.6,18.8,2,3.2,16,23.4,407,109.7,94.4,2.3,1.8,4.1,4,5.1,9.1
13,DJ Funderburk,JR,2019-20,F,North Carolina State,ACC,30,781,25,0.655,0.618,10.1,15.9,13,2,2,3.2,12.8,21.2,350,125,98.5,2.8,1.2,4,4.1,1.1,5.3
14,Olivier Sarr,JR,2019-20,C,Wake Forest,ACC,30,801,26.1,0.596,0.529,11.4,25.9,18.8,8,0.8,4.6,12,24.2,401,120.4,100.8,2.9,1,4,3.7,2.5,6.2
15,Justin Champagnie,FR,2019-20,G,Pittsburgh,ACC,33,1085,18.8,0.509,0.467,7.4,17.3,12.2,4.7,2,3.1,7.4,21.1,384,110.4,98.7,2.2,1.7,3.9,2.2,2,4.2
16,T.J. Gibbs,SR,2019-20,G,Notre Dame,ACC,32,1119,16.3,0.572,0.534,1.6,5,3.4,17.5,1.7,0.2,9.5,18.6,406,118,105.5,2.8,1,3.8,4.7,0.2,4.9
17,Marek Dolezaj,JR,2019-20,F,Syracuse,ACC,32,1064,18,0.576,0.509,7.7,13.6,10.7,15.5,2,3.4,17.7,16.7,369,116.1,102.1,2.5,1.3,3.7,2.9,4,6.9
18,Kihei Clark,SO,2019-20,G,Virginia,ACC,30,1114,14.4,0.503,0.439,1.3,12.2,7,37.5,2.2,0.4,24.6,22.5,378,95.5,89.2,0.8,2.7,3.6,1.1,3.5,4.6
19,Trent Forrest,SR,2019-20,G,Florida State,ACC,31,959,19.2,0.542,0.488,4.2,12.4,8.4,24,3.5,2.3,21.8,21.9,393,105.1,94.1,1.7,1.9,3.6,2.7,4.8,7.5
20,Steffon Mitchell,JR,2019-20,F,Boston College,ACC,31,1008,19.9,0.52,0.494,10.4,20.1,15.1,19.1,3.9,3.3,17.7,14.2,303,111,95.4,1.7,1.9,3.6,2.8,6.6,9.4
21,James Banks III,SR,2019-20,F,Georgia Tech,ACC,31,918,18.7,0.557,0.525,11.5,17.7,14.8,6.8,1.9,8.6,18.8,17.6,303,105.9,90.3,1.4,2.1,3.5,0.5,7.9,8.4
22,Braxton Key,SR,2019-20,G,Virginia,ACC,27,906,16.4,0.485,0.461,6.5,20.3,13.7,13.4,2.3,2.4,14.9,20.8,270,96.8,84.2,0.7,2.6,3.4,0.5,6.3,6.8
23,Michael Devoe,SO,2019-20,G,Georgia Tech,ACC,28,983,16.9,0.587,0.556,1.4,11,6.5,21,2,0.3,19.9,24.1,421,104.3,97.5,1.7,1.6,3.3,3.4,1.8,5.2
24,Matthew Hurt,FR,2019-20,F,Duke,ACC,31,637,21.6,0.6,0.58,8.4,11.6,10,7.6,1.2,3.3,9.7,20.4,277,124.6,96.1,2.1,1.1,3.3,6.5,2.5,9.1
25,Bourama Sidibe,JR,2019-20,F,Syracuse,ACC,32,768,20,0.672,0.692,13.1,21.5,17.4,1.5,3.1,7.6,17.3,11.5,201,126.8,93.4,1.7,1.6,3.3,2.2,5.8,8
26,Cassius Stanley,FR,2019-20,G,Duke,ACC,29,796,18.5,0.569,0.531,7.6,11.7,9.7,6.6,1.4,2.4,14.4,21.9,339,112.3,96.2,1.9,1.4,3.3,3.9,2.6,6.5
27,Jose Alvarado,JR,2019-20,G,Georgia Tech,ACC,24,803,18.6,0.562,0.522,1.4,9.8,5.8,25.1,3.7,0.3,17.3,23,340,107.1,94,1.6,1.6,3.2,4.6,2.9,7.4
28,Devon Daniels,JR,2019-20,G,North Carolina State,ACC,32,994,18,0.538,0.512,3.5,15.2,9.4,13.5,3,1.2,14.9,22,390,104.4,97.6,1.6,1.6,3.2,2.4,3,5.4
29,Ryan McMahon,SR,2019-20,G,Louisville,ACC,31,765,15.6,0.636,0.599,0.6,4.3,2.5,13.7,1.6,0.3,12.4,16.3,248,126.3,100.8,2.1,1,3.2,7,1.2,8.2
30,Tevin Mack,SR,2019-20,G,Clemson,ACC,31,879,18.8,0.532,0.522,3.9,17.7,10.8,7.9,2.3,3,9.2,23.8,333,103.4,94.1,1.4,1.7,3.1,2.4,3.1,5.5
31,John Newman III,SO,2019-20,G,Clemson,ACC,31,981,14.5,0.537,0.498,1.9,12.8,7.4,14.4,1.9,2,13,17.2,292,106.4,97.4,1.4,1.6,3,1.4,3.8,5.2
32,Buddy Boeheim,SO,2019-20,G,Syracuse,ACC,32,1138,15.4,0.532,0.518,1.2,4.7,3,12.8,1.8,0.7,9.2,22.7,434,107.9,108.4,2.2,0.7,2.9,4.2,-1.3,2.9
33,Markell Johnson,SR,2019-20,G,North Carolina State,ACC,31,1057,17.6,0.482,0.463,1.4,12.9,7.2,36.3,3.2,0.8,19.7,24,464,99,98.5,1.3,1.6,2.9,3,2.2,5.2
34,Au'Diese Toney,SO,2019-20,G,Pittsburgh,ACC,31,947,16,0.536,0.509,7.3,10.7,9,8.3,2.4,0.4,11.4,16.7,283,111.7,102.1,1.7,1.1,2.9,2.8,2,4.8
35,Dejan Vasiljevic,SR,2019-20,G,Miami (FL),ACC,31,1049,15.8,0.552,0.516,1.1,12.7,7,6.2,1,0.2,6.8,19.4,365,114,108.6,2.3,0.6,2.9,4.3,-1,3.3
36,Brandon Childress,SR,2019-20,G,Wake Forest,ACC,30,1063,16.7,0.539,0.474,1.3,8,4.7,27.6,1.9,0,16.9,24.2,478,106.3,107.9,2.2,0.7,2.8,4.7,-0.4,4.3
37,Joseph Girard III,FR,2019-20,G,Syracuse,ACC,32,1057,15.3,0.503,0.447,0.5,9.4,5.1,20.8,2.6,0.4,13.2,21.9,398,104.9,104.2,1.7,1,2.8,3.3,0.1,3.5
38,Malik Williams,JR,2019-20,F,Louisville,ACC,26,485,25.4,0.561,0.526,14.8,22.2,18.7,3.8,1.5,3.9,8,22.6,217,122.4,91.1,1.7,1.1,2.8,4.4,2.9,7.4
39,Moses Wright,JR,2019-20,F,Georgia Tech,ACC,31,942,16.5,0.554,0.541,7.2,18.6,13.2,6.7,1.1,3.8,18.4,23.5,364,98.2,94.1,1,1.8,2.8,-0.8,3.3,2.5
40,C.J. Bryce,SR,2019-20,G,North Carolina State,ACC,28,941,16.6,0.523,0.489,5.8,14.7,10.3,11.6,2.1,0.5,14.8,21.9,368,103.6,100.2,1.5,1.3,2.7,2.2,1.8,4
41,Juwan Durham,SR,2019-20,F,Notre Dame,ACC,32,560,26.4,0.596,0.565,9.8,17.9,13.9,9.2,1.3,11.9,13.3,21.8,238,116.3,93.2,1.6,1.1,2.7,1.2,7.7,8.9
42,Steven Enoch,SR,2019-20,C,Louisville,ACC,31,632,20.4,0.569,0.536,8.7,21.9,15.6,4.4,0.8,3.6,14,24.3,265,109.3,93,1.4,1.3,2.7,1.3,2.7,4.1
43,Dane Goodwin,SO,2019-20,G,Notre Dame,ACC,32,836,16.8,0.551,0.522,3.5,12,7.8,9.9,0.9,0.6,7.6,20.7,309,112.7,103.8,1.9,0.9,2.7,3.2,0.1,3.3
44,Armando Bacot,FR,2019-20,F,North Carolina,ACC,32,783,19.9,0.51,0.469,11.7,24.6,18,10,1.2,5.2,15.4,21.7,312,104.6,99,1.3,1.2,2.5,0.4,4.2,4.5
45,Jordan Goldwire,JR,2019-20,G,Duke,ACC,31,747,13,0.568,0.559,2.7,8.4,5.6,14.4,3.4,0.6,17.8,9.8,165,116.7,94.3,1.1,1.4,2.5,3.8,4.9,8.8
46,Malik Osborne,SO,2019-20,F,Florida State,ACC,31,598,18,0.539,0.529,11.8,18.4,15.1,4.2,1.8,4.7,10.4,16,190,117.2,94.1,1.3,1.2,2.5,2.9,3.7,6.5
47,Patrick Williams,FR,2019-20,F,Florida State,ACC,29,653,19.4,0.553,0.498,6.9,14,10.5,8.4,2.5,5.6,17.1,22.2,258,106.9,94.1,1.2,1.3,2.5,1.6,4.8,6.4
48,Rodney Miller,JR,2019-20,C,Miami (FL),ACC,30,723,18.2,0.583,0.575,8.9,16.6,12.8,3.9,1.5,3,10.2,14.6,219,120,103.9,1.6,0.7,2.4,1.9,2.2,4
49,Prentiss Hubb,SO,2019-20,G,Notre Dame,ACC,32,1128,13.1,0.508,0.492,1.9,5.4,3.7,26.7,1.6,0.3,18.3,20.9,416,100.5,105.4,1.4,1,2.3,2.4,-0.3,2.1
50,Xavier Johnson,SO,2019-20,G,Pittsburgh,ACC,33,1094,14.8,0.484,0.42,2.3,10.7,6.3,32.6,3.2,0.8,21.8,23.9,418,95.1,100.1,0.8,1.5,2.3,1.3,2,3.3
51,Chris Lykes,JR,2019-20,G,Miami (FL),ACC,26,782,19.5,0.55,0.511,1.4,6.4,3.9,17.7,2.1,0.9,12.9,27.5,378,107.4,108.3,1.9,0.5,2.3,4.7,-1.1,3.6
52,Brandon Robinson,SR,2019-20,G,North Carolina,ACC,24,724,16.2,0.573,0.544,3.2,8.2,5.6,15.2,2,1.6,13.6,18.8,260,114.9,105.4,1.6,0.6,2.3,5.7,1.1,6.9
53,Manny Bates,FR,2019-20,F,North Carolina State,ACC,29,534,22,0.635,0.657,10.4,13.8,12.1,2.6,1.4,16,12.7,12.3,148,124.8,94,1.2,1.1,2.2,1.5,9.9,11.3
54,Cole Anthony,FR,2019-20,G,North Carolina,ACC,22,768,17.5,0.501,0.451,1.4,16.4,8.7,24.1,2.1,0.9,15.9,30,383,99.9,102.4,1.2,0.9,2.1,3.6,1.3,4.9
55,Wabissa Bede,JR,2019-20,G,Virginia Tech,ACC,32,951,12.3,0.423,0.41,1.2,13.1,7.1,34.9,2.1,1.9,21.4,14.2,251,98.6,99.5,0.7,1.4,2.1,-1,2.7,1.6
56,Hunter Cattoor,FR,2019-20,G,Virginia Tech,ACC,31,628,16,0.579,0.573,0.7,13.4,7.1,11.4,3,0.8,8.4,16.7,179,111.5,98,1.1,1,2.1,3.7,2.2,5.9
57,Trey McGowens,SO,2019-20,G,Pittsburgh,ACC,33,1108,13.2,0.478,0.428,1.5,9.9,5.5,23.3,3.4,0.2,19.1,22.8,383,93.6,100.2,0.6,1.5,2.1,1,1.8,2.8
58,Thomas Woldetensae,JR,2019-20,G,Virginia,ACC,29,785,9.4,0.497,0.487,0.8,8.8,5,9.7,1.9,1.4,13.6,16.5,171,94.5,90.6,0.3,1.8,2.1,0.8,3.6,4.4
59,Chaundee Brown,JR,2019-20,G,Wake Forest,ACC,23,648,18.4,0.555,0.5,6.7,18.7,12.8,10.8,1,0.5,12.5,21.9,267,111.2,105.7,1.5,0.5,2,3.4,0.6,4
60,P.J. Horne,JR,2019-20,F,Virginia Tech,ACC,32,900,11.9,0.559,0.556,3.2,13.9,8.5,2.5,1.5,2.9,11.8,14.9,207,101.3,99.9,0.8,1.3,2,0.5,2.4,2.9
61,Nate Laszewski,SO,2019-20,F,Notre Dame,ACC,32,671,14.7,0.542,0.513,3.9,19.3,11.7,4.4,0.6,1.5,8,18,209,109.6,100.6,1.1,0.9,2,1.5,0.2,1.7
62,M.J. Walker,JR,2019-20,G,Florida State,ACC,26,656,13.4,0.519,0.467,1.1,6.8,4,10.6,1.8,1.1,12.5,22.9,253,106.3,100.9,1.2,0.9,2,2.3,0.1,2.4
63,Nahiem Alleyne,FR,2019-20,G,Virginia Tech,ACC,32,832,12.5,0.526,0.492,0.8,9.6,5.2,11.3,0.9,0.9,9.2,19.3,258,104,104.3,1.1,0.8,1.9,1.3,0.1,1.3
64,Quincy Guerrier,FR,2019-20,F,Syracuse,ACC,32,651,16.2,0.538,0.506,9.9,18.8,14.5,5.7,1.3,5.1,17.4,19.3,224,104.5,100,1,0.9,1.9,-0.2,2.6,2.4
65,Eric Hamilton,SR,2019-20,F,Pittsburgh,ACC,31,515,18.2,0.545,0.492,11.9,18.6,15.1,2.2,1.3,3.5,11.4,17.5,167,114.4,99.4,1.1,0.8,1.9,-0.3,1.1,0.8
66,Jericole Hellems,SO,2019-20,F,North Carolina State,ACC,31,790,13,0.51,0.471,5.8,9,7.4,7.3,1.4,1,12.8,20.6,283,103.3,103.7,1.1,0.8,1.9,1.7,0.2,1.9
67,Anthony Polite,SO,2019-20,G,Florida State,ACC,31,612,14.1,0.532,0.516,4.7,12.8,8.8,10,3.5,1.4,17.6,16.5,178,104.3,94.3,0.7,1.2,1.9,2.8,3.8,6.6
68,Jay Heath,FR,2019-20,G,Boston College,ACC,31,1031,13.3,0.519,0.513,2,9.7,5.7,14.8,2.2,0.3,15,22.6,371,96.4,104.8,0.8,1,1.8,1.5,0.1,1.6
69,Landers Nolley II,FR,2019-20,G,Virginia Tech,ACC,32,967,16.2,0.482,0.444,3,19.2,11.1,18.8,1.5,1.3,14.5,33.9,471,91.1,98.9,0.3,1.5,1.8,0.3,1,1.3
70,Rex Pflueger,SR,2019-20,G,Notre Dame,ACC,31,845,11.5,0.472,0.438,3.3,10.5,7,20.6,3,1,22.4,13.1,205,99.1,99.5,0.6,1.2,1.8,0.8,3.7,4.5
71,Hunter Tyson,SO,2019-20,F,Clemson,ACC,31,421,19.8,0.576,0.551,5.6,20.3,12.9,5.8,2.4,0.9,9.2,20.7,153,113,93.9,1,0.8,1.8,3.4,1.3,4.7
72,Braxton Beverly,JR,2019-20,G,North Carolina State,ACC,32,795,10.2,0.534,0.515,0.8,6.1,3.5,7.9,1.6,0,10.5,14.7,206,107.6,105.2,1,0.7,1.7,2.5,0,2.5
73,Javin DeLaurier,SR,2019-20,F,Duke,ACC,31,410,17.1,0.589,0.561,10.1,19,14.6,6.2,2.5,6,19.9,13.2,118,113.8,88.2,0.7,1,1.7,2.1,7.3,9.4
74,Sam Waardenburg,JR,2019-20,F,Miami (FL),ACC,30,844,13.2,0.499,0.456,6.6,17.4,12,6.6,1.6,3.9,16.2,12.8,196,103.1,103.1,0.8,0.9,1.7,0.7,3.9,4.6
75,Terrell Brown,JR,2019-20,F,Pittsburgh,ACC,33,593,16.2,0.549,0.525,9.1,13,10.9,1.8,1.1,10.1,15.1,15,154,107,99.6,0.8,0.8,1.6,-1.5,5.4,3.9
76,David Johnson,FR,2019-20,G,Louisville,ACC,27,432,19.2,0.525,0.51,8,11.8,10,35.9,2.5,1.9,23.8,25.4,202,102,94.3,0.8,0.8,1.6,3.6,4.6,8.3
77,Jalen Cone,FR,2019-20,G,Virginia Tech,ACC,32,589,13.9,0.6,0.571,0.8,6.3,3.5,8,0.6,0.2,12.4,22.5,211,106.2,106.4,1,0.5,1.5,3.2,-2.3,0.9
78,Al-Amir Dawes,FR,2019-20,G,Clemson,ACC,31,923,10,0.515,0.48,0.8,10.4,5.6,17,2,0.1,22.3,20.3,277,90.1,99.2,0.1,1.4,1.5,-0.1,1.8,1.7
79,Raiquan Gray,SO,2019-20,F,Florida State,ACC,29,565,13.5,0.478,0.422,6.3,16.7,11.6,12.4,3.1,4.1,22,20.3,186,93.2,92,0.2,1.2,1.5,-0.6,5.5,4.9
80,Balsa Koprivica,FR,2019-20,C,Florida State,ACC,27,278,24.9,0.697,0.699,13.3,14.3,13.8,5.9,1.9,3.1,15.7,19.3,119,129,96.3,1,0.5,1.5,5,2.4,7.4
81,Jack White,SR,2019-20,F,Duke,ACC,30,468,12.2,0.519,0.494,5.7,14.1,10,7.4,2.6,4.3,19.9,11,101,105.1,91.5,0.4,1,1.5,2.4,6.5,8.9
82,Leaky Black,SO,2019-20,G,North Carolina,ACC,32,951,10.9,0.425,0.395,4.9,13.4,9,15.5,2.4,3,18.6,15.1,234,91.7,101.7,0.2,1.2,1.4,-0.3,4.6,4.3
83,Kameron McGusty,JR,2019-20,G,Miami (FL),ACC,28,825,15,0.527,0.498,1.8,13.2,7.5,11.4,1.3,0.6,16.2,24.6,325,97.7,107.4,0.8,0.6,1.4,1.2,-0.4,0.7
84,Wendell Moore Jr.,FR,2019-20,F,Duke,ACC,25,600,11.7,0.5,0.429,7.4,11.7,9.6,12.6,2,0.9,24.7,19.2,205,95,95.7,0.4,1.1,1.4,0.3,3.8,4
85,Bubba Parham,JR,2019-20,G,Georgia Tech,ACC,31,825,6.6,0.484,0.444,1.8,8.3,5.2,11.9,1.7,0.1,20.3,12.5,168,93.6,99.1,0.2,1.2,1.4,-0.3,2.4,2.1
86,Darius Perry,JR,2019-20,G,Louisville,ACC,31,604,9.8,0.495,0.481,0.4,8.1,4.4,23.9,1.6,0,20.4,17.5,179,99.3,99.1,0.5,0.9,1.4,1.4,1.6,3
87,Curran Scott,SR,2019-20,G,Clemson,ACC,31,623,11.1,0.497,0.433,1.7,8.6,5.1,14.2,2.4,0,16,18.3,180,97.2,98.8,0.5,0.9,1.4,-0.1,1.7,1.6
88,Joey Baker,SO,2019-20,F,Duke,ACC,28,338,14.1,0.544,0.525,0.7,7,3.9,10.7,2.3,1.6,10.5,19.7,122,111.9,96.3,0.7,0.6,1.3,3.6,1.6,5.1
89,Jared Hamilton,SR,2019-20,G,Boston College,ACC,25,623,12.8,0.503,0.468,3,8.5,5.6,8,2.3,0.7,8.5,17.1,179,103.1,104.8,0.7,0.6,1.3,0.2,0.6,0.9
90,Lamarr Kimble,SR,2019-20,G,Louisville,ACC,31,676,9.3,0.445,0.41,1.6,6.1,4,22,2.2,0.5,21.1,16.9,185,93.7,98.4,0.3,1,1.3,0.4,2.7,3.1
91,Alex O'Connell,JR,2019-20,G,Duke,ACC,29,386,15.4,0.484,0.476,4.6,13.6,9.2,9.9,3.1,0.5,11.8,21.6,142,101.5,93,0.5,0.8,1.3,2.5,2.5,5
92,Andrien White,SR,2019-20,G,Wake Forest,ACC,31,753,11.9,0.542,0.502,1.4,15.1,8.4,11.6,1.7,0.1,18.6,20.7,255,97.8,105.8,0.6,0.6,1.3,2.3,0.5,2.8
93,Isaiah Wilkins,SO,2019-20,G,Virginia Tech,ACC,32,462,15.4,0.444,0.42,5.2,15.7,10.5,18.8,3.3,1.1,9.4,20.2,152,98.7,96.3,0.4,0.8,1.3,1.4,3,4.4
94,Ryan Murphy,JR,2019-20,G,Pittsburgh,ACC,30,736,10.9,0.481,0.455,2.1,7.1,4.5,10.6,2.1,0.5,13.1,19.1,208,96.9,104.6,0.5,0.7,1.2,0.8,0.3,1.1
95,Isaiah Wong,FR,2019-20,G,Miami (FL),ACC,31,656,14.4,0.531,0.466,5.7,10,7.9,9.6,1.3,1.7,18.7,21.7,242,100,108.1,0.8,0.4,1.2,0.5,0.3,0.9
